제목,내용,글_라벨
와 컴퓨토ㅣ터하다 목에 담걸려서,"운동2주쉬었음
다녹았노",clean
할건가요,에,clean
님아 열매외우는겜이네,최적열매외워야됫던거임,clean
가자,가자지구,clean
함하자,네,LABEL_8
님아 롤체갤엉님들이,이번통계분석해보니깐 기물락시즌맞대요,clean
어우졸려시박거,네,clean
슈프림셀 이 어머같은 시너지,절대다시안한다,clean
하자,고,clean
아니 메타티에프티 지금보니까,또바뀌어잇네 머냐,clean
마치이런거죠,우간다로전학가자마자 전교1등했어요,clean
아니 님이랑 안한판 2등 1등함,모래주머니인가이게,clean
공략을보세요,아시겟죠,clean
인스타보다가 덥스텝인지 뭔지 봤는디,걍 오타게수준인데? 억지 활발함느낌 ㅇㅇ,clean
곧갑니다,할게없어이제,clean
기다릴게 언제라도,출발할수잇도록,clean
내일은해물찜먹는날,낄낄,clean
아 공수래공수거라고 답변할걸,이게왜지금떠올랐지,clean
못생길수록 인터넷어서 어쩌고,네,clean
공수 어케공부하면되냐,"그냥 공식 외우면됨?
칼복때문에 공수1 공부중인데 파고들면서 공부하려니 시간 존나오래걸리네

그냥 미방푸는법 대충 외워두고 라플라스같은거 개념만 알면 공수2 하는데 문제없냐",clean
이거 또 확률 건들엿네,부정리롤 조사하라,clean
자해볼까요,자해 볼까요,clean
이번시즌 운없는이유알아냄,절대안쓰이는 4코가 쥰내만아서 안겹친덱해도 원하는거 2성안붙음,clean
오늘 맛있는만화많네,기분짱,LABEL_8
전럽코안봄,전성기시절 다까끼양제외,clean
대학원에서도 만붕마위 가능한가요,진지함,clean
오늘도하나요,로루체쓩,clean
아니 신데쿠레 죽을 사를 タヒ로쓰네,가사 사이트에서 死んでくれ가 아니가 タヒんでくれ로 적혀잇음,clean
오네가이 신데쿠레,,clean
나라꼴 정상인데?,네 ㅇㅇ..,clean
나라꼴이 말이아니네요,네,clean
내 위대함을 알았는가,낄낄!,clean
하자고오고오고오,고오쓰,LABEL_9
언제할가요,네,clean
럴체할사럼,럴체하자,clean
여기에 오뎅을 넣지 마란 법 있을까?,,clean
그럼가서만나나요,나도헬로우챗인가 그거해야하나,clean
시발 네토후리가 어케 넷플릭스임,어위가없네,clean
고기고기 가가기가가기고기,고기먹고싶다,clean
왜 우리나라는 남녀비가 1:5가 아닌거임.,왜지.,clean
고기묵자고 소리쳐,꺄앙!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,clean
가지마가지마가지마~,,LABEL_1
히잡슨년이 담배피네,남편이 안때리나,clean
아주르 프로밀리아인가,이거도 시비티하면 신청해봐야겟다,clean
놀자,나랑놀래아니면똥쌀래,LABEL_1
엉덩이엉고기,엉엉,clean
야,"드디어붙어서
좆깉은시험 ㅅㅂ년",clean
지금상황,,clean
하자,시요오,clean
마이크키고하자,그럼재밋을듯,clean
닉네임 한국어니까,"1번이 이게 디시지 감성으로 시비검
이게 조센징인가",LABEL_1
응가응가응가,똥,clean
윤회란 있는가,있다면 망설임 없이 가노라,clean
똥똥똥,응가,clean
경쟁전이 12시까지라뇨,,LABEL_9
츠케멘묵자고,2트째,clean
음 그래그래,이게 나야,clean
나도 털바퀴가되고싶다,,clean
시발롬아,나도시켜줘잉,clean
난 이게 배그보다 재밋다,,clean
핑은 내가 아시아서버가 아니엇다는사실,35핑이네요,clean
얼마나 재밋으면,글을 3개나 썻겟어,LABEL_3
이거 초대되기는 하는데,초대하면 님 할거임?,clean
근데 핑이,어머없네,clean
개호감이네 일단 그래픽이 내가,"원하던 그래픽이야
근데 먼템을 쳐먹는지는 모르겟음",clean
놀자,자놀,clean
리유나이생각하면,저랑동갑인데요,clean
시비티당첨댐,,clean
리유 나이 생각하면 마을버스급아닌가,아님말고,clean
치킨먹고싶군.,네.,clean
님아ㅈ됨,https://m.dcinside.com/board/dcbest/350101,clean
케데헌 좆같은이유,"김치워리어mk2 만든다고 스파이더맨 애니 밀림
니애미",clean
케데헌 잼잇음?,보신분,clean
결국 주인공입학전 스토리 나오네요,초록이를 살리려는 똥꼬쇼,clean
님아 이번 N2에,"기상, 귀성 물어보는문제 각각 총2개 나왓대요

러브라이브보면 자다가도 떡이생긴다

네",LABEL_1
1킬당미션받습니다,,clean
94년작이라 뻔한건가,그땐 참신햇던거겟죠,clean
엉생묵자,예상답변) 2045년부터가능,clean
자이자이자슥아,,clean
요즘진짜할게없다,이정도로없던적이없음.,clean
재명지원금으로 츠케멘?,가능한가요?,clean
츠케멘먹으러가자,어떤데,clean
놉시다,네,clean
지역인재 7급 << 이건가요,졸업해도 추천받아진다는데,clean
이번학기하고 휴학할까,4-2까지 가면 지역인재 못받는다고함,clean
아 헬스 진짜 재미없네,발전도 없고 뭐 걍 딸딸이치고 누워자는게 이득인듯,LABEL_1
저녁추천해보라이,네,clean
똥,드삼,clean
만붕마위의 주인공이되고싶다,,clean
심심하다,네,clean
이거 진짜에요?,ㄷㄷㄷ,clean
모기가 발만물엇어,,clean
첫사건까지 3.4시간,힘드니까 이제 자야지,clean
카메라 맞잔아 이생귀ㅏ양,그런흐름으로 가고잇아ㅓ요,clean
아 스 바,ㅁㅡ모기,clean
온난화때매 장마없어졋다고,염병호들갑떨더만 일주일내내비온다하노,clean
어제말한거 누가햇네,,clean
고물로이드 하마양 분양받고싶다,네,clean
놀장께,산책하장께,clean
제 세대는 이건데,네,clean
윈드슬레이어 << 이거 이틀뒤에 재출시됨,,clean
배고프다고요,네,clean
맞짱뜨자,ㅇㅇ,clean
일드를 얼마나좋아하면,일드추천키워드타고오죠,clean
아 만갤에서 잘 보던 만화,어매터진 회사가 또 지랄하네,clean
일드추천하세요,네,clean
불닭먹기 vs 참기,참기름,clean
습도인지 온도인지,너무덥다더워,clean
심심하다고요,,clean
왔어요 왔다구요,꾸러기닌자가~,LABEL_1
이기적인 놈,"이기적인놈. 나라가 망해도 좋다 이거냐?

폐경 5년 앞둔 30중반 한국여자랑 결혼해서 시험관에 수천써서 장애아 낳을까 조마조마하며 아이 둘 낳고 용돈30으로 버텨가며 평생 주담대 갚고 사교육비에 탕진하다 노년에 이혼당해 전재산 다 뺏기고 70에 죽는게 진정한 행복이란 말이다",clean
에혀,쿠소쿠라에,clean
이기적인놈 어쩌구 << 요즘 개쳐웃긴거,맨날 보이는데 걍 보이면 웃김,clean
개임추천좀요,네,clean
찐따같이생긴놈만 말걸은듯,ㅇㅇ,clean
사이비 야스포교 당할뻔함,네,LABEL_1
업보청산하기 좆같은데 어카지,3년만앞으로 돌아가면안될까,clean
아유하미다스모,에블바디하미다스모,clean
데스메이커 직가 << 이새긴진짜어머련이네,하참네,clean
배고파,네,clean
오늘 만갤에서 충격먹은거,츠무기가 리츠보다 인기없대,clean
몇시어디,네,clean
이.,"1
이미지 순서 ON",clean
꽁돈 받아가앙,"공짜로 74000원 받아가세용

1. 빗썸을 깐다

2. 회원가입 후 로그인

3. kb국민 계좌 등록

4.더보기 쿠폰 코드 등록. 초대코드에 APPLE12345 입력
>>>여기까지 5만원 지급

5.거래소 들어가서 테더 클릭>매수에서 시장가 선택>총액 옆에 있는 비율에서 최대로 설정 후 풀매수 > 똑같은 방식으로 풀 매도 (이렇게 해야 본인계좌로 입금 가능)

6. 홈 화면 맨 밑 두번째에 있는 혜택/서비스 클릭 > 혜택 존에서 받기 클릭

7. 웰컴 미션 모두 받기 >>>2만원 지급

8. 입출금 들어가서 kb국민 계좌로 74000원 확인 후 이 74000원을 5번 과정 한 번 더 진행

9. 입출금 들어와서 kb국민 계좌로 74000원 출금 진행

쇼핑 하러 가자 !!!",clean
오늘의 디시탐방:한국 메이드카페 갤러리,돈모아서 든든한 리얼돌 사먹을듯,clean
쌍둥이에요,네,clean
아도케나이콘나키모치모,아도겐,clean
